City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Zhanakorgan,KZ,74.77,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
443,Shellbrook,CA,69.8,broken clouds,53.22,-106.4,Shellbrook Hotel
448,Cabras,IT,73.76,clear sky,39.93,8.53,Hotel Villa Canu
449,Kenitra,MA,73.4,few clouds,34.26,-6.58,Bienvenue chez vous
450,Kununurra,AU,66.2,few clouds,-15.77,128.73,Hotel Kununurra
463,Hun,LY,73.17,clear sky,29.13,15.95,Alrwasi Hotel
470,Dongsheng,CN,65.35,moderate rain,39.82,109.98,Crowne Plaza Ordos
484,Nachalovo,RU,66.2,broken clouds,46.34,48.2,VILLA`RI
489,Kapit,MY,74.43,overcast clouds,2.02,112.93,Hotel Meligai Kapit
492,Epinal,FR,68.0,broken clouds,48.18,6.45,Hôtel Première Classe Epinal
513,Masumbwe,TZ,74.14,overcast clouds,-3.63,32.18,Ngabanya Logde & Filling Station
514,Komsomolskiy,UZ,71.6,clear sky,40.43,71.72,Ikathouse
521,Benguela,AO,66.97,scattered clouds,-12.58,13.41,Hotel Praia Morena
526,Tongchuan,CN,67.73,broken clouds,35.08,109.09,Tongchuan Hotel
541,Leeuwarden,NL,66.99,overcast clouds,53.2,5.81,Bastion Hotel Leeuwarden
545,Cabinda,AO,73.78,scattered clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
546,Pocone,BR,65.07,scattered clouds,-16.26,-56.62,Hotel e Churrascaria Pantaneira
556,Luau,AO,67.53,few clouds,-10.71,22.22,Kimbo Hotel
559,Si Satchanalai,TH,74.53,light rain,17.52,99.76,Chanalai Resort and Hotel
565,Tieling,CN,69.82,overcast clouds,42.29,123.84,Tieling 99 Yuejia Business Guest House
572,Bojnurd,IR,69.8,broken clouds,37.47,57.33,Hotel negin
581,Bischheim,FR,69.8,few clouds,48.62,7.76,Cap Europe
583,Police,PL,66.0,clear sky,53.55,14.57,Hotel Dobosz
586,Ocampo,MX,72.12,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
587,Vilhena,BR,69.8,clear sky,-12.74,-60.15,Hotel Mirage
588,Sechura,PE,68.43,few clouds,-5.56,-80.82,Hospedaje Costa Bella
589,Palora,EC,73.4,overcast clouds,-1.7,-77.93,Rancho grande
593,Jaciara,BR,69.37,broken clouds,-15.97,-54.97,Taba Hotel
597,Ponta Delgada,PT,71.6,few clouds,37.73,-25.67,Vila Nova Hotel
601,Garoua,CM,74.3,moderate rain,9.3,13.4,Hotel De L'Amitie
610,Upata,VE,74.23,light rain,8.01,-62.4,Posada Villa Nela
612,Sindgi,IN,73.94,overcast clouds,16.92,76.23,Hotel New Sangam
617,Maniwaki,CA,69.3,light rain,46.38,-75.97,Centre Chateau Logue
618,Salaga,GH,73.83,light rain,8.55,-0.52,Maridon Lodge
619,Nacala,MZ,72.01,overcast clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
620,Nurota,UZ,71.6,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
623,Pionerskiy,RU,68.0,broken clouds,54.95,20.23,Baltica Pension
627,Carballo,ES,66.0,scattered clouds,43.21,-8.69,Pazo do Souto
630,Khani,GE,66.2,overcast clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
634,Souillac,MU,69.8,scattered clouds,-20.52,57.52,Bils' Villa
642,La Rochelle,FR,68.0,overcast clouds,46.17,-1.15,Hôtel Saint Jean d'Acre
643,Roebourne,AU,70.11,clear sky,-20.78,117.13,Harding River Caravan Park
645,Tura,IN,72.64,light rain,25.52,90.22,Hotel RIKMAN Continental
646,Lakota,CI,70.61,scattered clouds,5.85,-5.69,Aziz bah divers
655,Hami,CN,73.71,clear sky,42.8,93.45,Laoyutang Resort
657,Dandong,CN,71.96,broken clouds,40.13,124.39,Yiranju Farmstay
664,Cambre,ES,66.0,broken clouds,43.29,-8.35,Hotel Crunia I A Coruña
668,Nauta,PE,74.98,broken clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
670,Pachmarhi,IN,65.75,overcast clouds,22.47,78.43,TBT Budget Stays
676,Adoni,IN,74.48,overcast clouds,15.63,77.28,Bheemas Regency
677,Gbadolite,CD,71.58,overcast clouds,4.28,21.02,Zenic
697,Djambala,CG,70.32,light rain,-2.54,14.75,Auberge Chez Les Emmanuelles
698,Hazorasp,UZ,73.4,overcast clouds,41.32,61.07,Kemping wifi hotel
703,Tete,MZ,69.8,scattered clouds,-16.16,33.59,Zambeze Paraíso Misterioso
705,Karratha,AU,69.15,clear sky,-20.74,116.85,ibis Styles Karratha
706,Kutum,SD,73.22,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
710,Pacific Grove,US,71.6,smoke,36.62,-121.92,Lovers Point Inn
713,Calama,CL,66.2,clear sky,-22.47,-68.93,Park Hotel Calama
716,Takoradi,GH,74.62,clear sky,4.88,-1.76,Raybow International Hotel
717,Cap Malheureux,MU,69.01,light rain,-19.98,57.61,Pereybere Hotel & Spa
721,Tonantins,BR,74.68,clear sky,-2.87,-67.8,Hotel Rei Davi
723,Galesong,ID,69.8,few clouds,-5.32,119.37,Sapriadi Appy
